Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-03-31,0.010155,491
2024-07-11_14-16-32,0.014884,426
2024-07-11_14-14-24,0.010156,407
2024-07-10_15-40-03,0.010138,507
2024-07-10_15-51-48,0.010214,316
2024-07-10_15-52-36,0.010108,282
2024-07-10_15-43-56,0.010141,355
2024-07-11_14-12-14,0.010169,473
2024-07-11_14-19-12,0.01013,351
2024-07-10_15-44-58,0.010136,372
2024-07-11_14-02-35,0.010135,582
2024-07-11_14-10-53,0.010205,554
2024-07-10_15-40-53,0.010168,397
2024-07-10_15-54-07,0.010122,293
2024-07-11_14-13-12,0.01018,489
2024-07-11_14-05-35,0.010161,431
2024-07-11_14-17-18,0.010179,403
2024-07-10_15-53-12,0.010154,296
2024-07-11_14-06-07,0.010125,436
2024-07-10_15-51-45,0.010152,283
2024-07-10_15-38-54,0.010131,451
2024-07-10_15-51-21,0.01013,328
2024-07-11_14-04-22,0.010144,540
2024-07-11_14-17-59,0.010182,339
2024-07-10_15-52-37,0.010131,288
2024-07-10_15-50-55,0.010139,319
2024-07-10_15-48-15,0.010142,323
2024-07-10_15-43-03,0.010161,319
2024-07-11_14-15-08,0.010218,401
2024-07-11_14-13-51,0.010211,442
2024-07-11_14-18-28,0.010185,379
2024-07-10_15-41-46,0.010267,404
2024-07-11_14-03-31,0.010189,491
2024-07-11_14-16-32,0.014978,426
2024-07-11_14-14-24,0.010254,407
2024-07-10_15-40-03,0.010181,507
2024-07-10_15-51-48,0.010169,317
2024-07-10_15-52-36,0.010168,282
2024-07-10_15-43-56,0.01017,355
2024-07-11_14-12-14,0.010138,472
2024-07-11_14-19-12,0.010157,351
2024-07-10_15-44-58,0.010195,372
2024-07-11_14-02-35,0.010321,580
2024-07-11_14-10-53,0.010211,555
2024-07-10_15-40-53,0.010183,398
2024-07-10_15-54-07,0.010327,293
2024-07-11_14-13-12,0.01019,489
2024-07-11_14-05-35,0.010172,431
2024-07-11_14-17-18,0.010246,403
2024-07-10_15-53-12,0.010189,296
2024-07-11_14-06-07,0.010326,436
2024-07-10_15-51-45,0.010168,284
